lga_code_2016,lga_name,mean_aud_2014_15
10050,lbury,53775
10130,rmidale regional,49109
10250,allina,49223
10300,alranald,47217
10470,athurst regional,55531
10550,ega valley,44529
10600,ellingen,42499
10650,errigan,46733
10750,lacktown,54326
10800,land,51664
10850,layney,54570
10900,lue mountains,57743
10950,ogan,61931
11100,otany bay,58533
11150,ourke,52853
11200,rewarrina,43150
11250,roken hill,55425
13910,illtops,48290
14000,ornsby,68940
14100,unters hill,132053
14170,nner west,77873
14200,nverell,43391
14300,unee,50253
14350,empsey,41076
14400,iama,58873
14500,u-ring-gai,103457
14550,yogle,37472
14600,achlan,52764
14650,ake macquarie,56997
14700,ane cove,103108
14750,eeton,47861
14850,ismore,45428
14870,ithgow ,55541
14900,iverpool,54133
14920,iverpool plains,46470
14950,ockhart,50853
15050,aitland,59998
15240,id-coast,42791
15270,id-western regional,54383
15300,oree plains,54412
15350,osman,155330
15520,urray river,48105
15560,urrumbidgee,50345
15650,uswellbrook,67582
15700,ambucca,40841
15750,arrabri,52265
15800,arrandera,46586
15850,arromine,48033
15900,ewcastle,61706
15950,orth sydney,103974
15990,orthern beaches,82042
16100,beron,51316
16150,range,58150
16200,arkes,51096
16260,arramatta,58413
16350,enrith,56654
12730,dward river,49165
12750,urobodalla,42991
12850,airfield,47282
12870,ederation,48996
12900,orbes,50226
12930,eorges river,58741
12950,ilgandra,43633
13010,len innes severn,37112
13310,oulburn mulwaree,52580
13340,reater hume shire,50249
13450,riffith,50382
13510,undagai,50129
13550,unnedah,55464
13660,wydir,41095
13800,awkesbury,57847
13850,ay,47720
11300,urwood,54861
11350,yron,46976
11400,abonne,54868
11450,amden,62301
11500,ampbelltown,52218
11520,anada bay,76384
11570,anterbury-bankstown,50036
11600,arrathool,53296
11650,Central Coast,53716
11700,Central Darling,61023
11720,Cessnock,55981
11730,Clarence Valley,41650
11750,Cobar,70301
11800,Coffs Harbour,47881
12000,Coolamon,50277
12150,Coonamble,46026
12350,Cowra,44766
12380,Cumberland,47721
12700,Dungog,50845
16380,Port Macquarie-Hastings,47521
16400,Port Stephens,52417
16490,Queanbeyan-Palerang Regional,67349
16550,Randwick,78050
16610,Richmond Valley,42158
16650,Rockdale,55121
16700,Ryde,64107
16900,Shellharbour,55187
16950,Shoalhaven,47013
17000,Singleton,71199
17040,Snowy Monaro Regional,49787
17080,Snowy Valleys,51707
17420,The Hills Shire,72369
17550,Tweed,47891
17620,Upper Hunter Shire,67341
17640,Upper Lachlan Shire,48256
17650,Uralla,43863
17750,Wagga Wagga,55994
17850,Walcha,42329
17900,Walgett,28822
17950,Warren,60388
18020,Warrumbungle Shire,43928
18050,Waverley,94547
18100,Weddin,46851
18200,Wentworth,48237
18230,Western Plains Regional,52633
18250,Willoughby,94975
18350,Wingecarribee,57916
18400,Wollondilly,60237
18450,Wollongong,59054
18500,Woollahra,151234
18710,Yass Valley,64360
19399,Unincorporated NSW,50429
17310,Tamworth Regional,49994
17350,Temora,47099
17400,Tenterfield,34724
17100,Strathfield,63561
17150,Sutherland Shire,69165
17200,Sydney,77840
